countyName,zipCode
Barbour,36016
Blount,35016
Bullock,36005
Appling,31513
Chambers,36274
Butler,36030
Barbour,36017
Blount,35031
Bullock,36029
Appling,31555
Chambers,36276
Atkinson,31650
Fairfield,6468
District of Columbia,20001
Calhoun,35096
Butler,36032
Cherokee,35959
Barbour,36027
Blount,35049
Bullock,36053
Baker,39862
Alameda,94501
Appling,31563
Chambers,36850
Fairfield,6470
District of Columbia,20002
Calhoun,35905
Butler,36033
Cherokee,35960
Barbour,36048
Blount,35063
Bullock,36089
Baker,39870
Alameda,94502
Bacon,31510
Baldwin,31031
Apache,85902
Chambers,36854
Fairfield,6482
District of Columbia,20003
Calhoun,36201
Butler,36037
Cherokee,35967
Barbour,36053
Blount,35079
Adams,80003
Arkansas,72026
Banks,30510
Cochise,85602
Aleutians West,99685
Alameda,94514
Bacon,31554
Baldwin,31061
Apache,85920
Chambers,36855
Fairfield,6484
District of Columbia,20004
Calhoun,36203
Butler,36042
Cherokee,35973
Barbour,36311
Blount,35097
Adams,80010
Arkansas,72042
Banks,30511
Cochise,85603
Anchorage,99501
Barrow,30011
Coconino,85931
Alameda,94536
Baldwin,31087
Apache,85924
Chambers,36862
Fairfield,6602
District of Columbia,20005
Calhoun,36205
Cherokee,35983
Blount,35121
Bethel,99551
Kauai,96703
Butte,95901
Bartow,30101
Adams,80011
Gila,85192
Arkansas,72073
Banks,30529
Cochise,85605
Anchorage,99502
Barrow,30517
Coconino,86001
Alameda,94538
Apache,85925
Chambers,36863
Fairfield,6604
District of Columbia,20006
Calhoun,36206
Cherokee,35984
Blount,35126
Bethel,99559
Kauai,96705
Butte,95914
Bartow,30102
Ben Hill,31750
Graham,85536
Adams,80019
Gila,85501
Dillingham,99576
Arkansas,72140
Banks,30530
Cochise,85606
Anchorage,99503
Barrow,30548
Coconino,86004
Alameda,94539
Apache,85927
Chambers,36879
Fairfield,6605
District of Columbia,20007
Calhoun,36207
Cherokee,36272
Blount,35133
Berrien,31622
Greenlee,85533
Fairbanks North Star,99701
Contra Costa,94505
Broomfield,80020
Kauai,96714
Butte,95916
Bartow,30103
Ben Hill,31783
Graham,85543
Adams,80020
Gila,85539
Arkansas,72160
Banks,30543
Cochise,85607
Anchorage,99504
Barrow,30620
Coconino,86005
Alameda,94541
Apache,85932
Fairfield,6606
District of Columbia,20008
Calhoun,36250
Blount,35146
Berrien,31639
Greenlee,85534
Fairbanks North Star,99705
Contra Costa,94506
Bibb,31020
Broomfield,80021
La Paz,85325
Haines,99827
Kauai,96716
Butte,95917
Bartow,30120
Graham,85546
Adams,80022
Gila,85541
Banks,30547
Cochise,85609
Anchorage,99507
Barrow,30622
Coconino,86015
Alameda,94542
Apache,85936
Fairfield,6607
District of Columbia,20009
Calhoun,36260
Blount,35172
Bleckley,31014
Maricopa,85003
Juneau,99801
El Dorado,95614
Cheyenne,80802
Berrien,31645
Greenlee,85922
Fairbanks North Star,99709
Contra Costa,94507
Bibb,31052
Broomfield,80023
La Paz,85328
Kauai,96722
Butte,95926
Bartow,30121
Graham,85552
Adams,80023
Gila,85544
Banks,30554
Cochise,85610
Anchorage,99508
Barrow,30656
Coconino,86017
Alameda,94544
Apache,85938
Fairfield,6608
District of Columbia,20010
Calhoun,36265
Blount,35180
Maricopa,85004
Juneau,99824
El Dorado,95619
Cheyenne,80810
Brantley,31503
Mohave,85360
Berrien,31749
Kenai Peninsula,99501
Fairbanks North Star,99712
Contra Costa,94509
Bibb,31201
La Paz,85334
Kauai,96741
Butte,95928
Bartow,30137
Adams,80030
Gila,85545
Banks,30558
Cochise,85615
Anchorage,99515
Barrow,30666
Coconino,86018
Alameda,94545
Apache,85940
Fairfield,6610
District of Columbia,20011
Calhoun,36271
Blount,35952
Brooks,31602
Navajo,85901
Ketchikan Gateway,99901
Glenn,95913
Conejos,80016
Maricopa,85006
El Dorado,95623
Cheyenne,80825
Brantley,31542
Mohave,86022
Berrien,31794
Kenai Peninsula,99556
Fairbanks North Star,99714
Contra Costa,94511
Bibb,31204
La Paz,85344
Kauai,96746
Butte,95930
Bartow,30139
Adams,80031
Gila,85553
Banks,30577
Cochise,85616
Anchorage,99516
Barrow,30680
Coconino,86022
Alameda,94546
Fairfield,6611
District of Columbia,20012
Calhoun,36272
Blount,35976
Brooks,31625
Navajo,85912
Glenn,95939
Bryan,31308
Conejos,80241
Pima,85321
Kodiak Island,99550
Maricopa,85007
El Dorado,95633
Brantley,31543
Mohave,86401
Kenai Peninsula,99568
Contra Costa,94513
Bibb,31206
La Paz,85346
Kauai,96751
Butte,95938
Bartow,30145
Adams,80045
Gila,85554
Cochise,85617
Anchorage,99517
Coconino,86024
Alameda,94550
Fairfield,6612
District of Columbia,20015
Calhoun,36277
Blount,35980
Bulloch,30415
Pinal,85118
Matanuska Susitna,99623
Imperial,92227
Crowley,81062
Brooks,31629
Navajo,85923
Glenn,95951
Bryan,31321
Conejos,81120
Pima,85601
Kodiak Island,99615
Maricopa,85008
El Dorado,95634
Brantley,31553
Mohave,86403
Kenai Peninsula,99572
Contra Costa,94514
Bibb,31210
La Paz,85348
Kauai,96752
Butte,95941
Bartow,30161
Adams,80102
Cochise,85620
Anchorage,99518
Coconino,86036
Alameda,94551
Fairfield,6614
District of Columbia,20016
Calhoun,36279
Bulloch,30425
Pinal,85119
Matanuska Susitna,99645
Imperial,92231
Crowley,81063
Burke,30426
Santa Cruz,85611
Nome,99762
Brooks,31643
Navajo,85928
Glenn,95963
Bryan,31324
Conejos,81140
Pima,85602
Maricopa,85009
El Dorado,95635
Brantley,31566
Mohave,86404
Kenai Peninsula,99603
Contra Costa,94517
Bibb,31211
La Paz,85357
Kauai,96754
Butte,95942
Bartow,30171
Adams,80103
Cochise,85625
Anchorage,99540
Coconino,86038
Alameda,94552
Fairfield,6615
District of Columbia,20017
Butts,30216
Bulloch,30450
Yavapai,85324
Sitka,99835
Kern,93203
Delta,81410
Pinal,85120
Matanuska Susitna,99652
Imperial,92233
Crowley,81076
Burke,30434
Santa Cruz,85621
Brooks,31720
Navajo,85929
Glenn,95988
Conejos,81148
Pima,85611
Maricopa,85012
El Dorado,95636
Mohave,86406
Kenai Peninsula,99605
Contra Costa,94518
Bibb,31216
Kauai,96756
Butte,95948
Bartow,30178
Adams,80136
Cochise,85626
Anchorage,99567
Coconino,86040
Alameda,94555
Fairfield,6784
District of Columbia,20018
Butts,30233
Calhoun,39813
Yuma,85333
Southeast Fairbanks,99737
Bulloch,30452
Yavapai,85332
Kern,93205
Delta,81413
Pinal,85122
Matanuska Susitna,99654
Imperial,92243
Burke,30441
Santa Cruz,85624
Brooks,31778
Navajo,85933
Conejos,81151
Pima,85614
Maricopa,85013
El Dorado,95651
Mohave,86409
Kenai Peninsula,99610
Contra Costa,94519
Bibb,31217
Kauai,96765
Butte,95954
Bartow,30184
Adams,80212
Cochise,85630
Anchorage,99577
Coconino,86046
Alameda,94560
Fairfield,6801
District of Columbia,20019
Camden,31548
Valdez Cordova,99574
Lake,95422
Dolores,81320
Crawford,72753
Butts,30234
Calhoun,39846
Yuma,85347
Bulloch,30458
Yavapai,85342
Kern,93206
Delta,81415
Pinal,85123
Matanuska Susitna,99674
Imperial,92249
Burke,30442
Santa Cruz,85637
Navajo,85934
Pima,85619
Maricopa,85014
El Dorado,95664
Mohave,86411
Kenai Peninsula,99611
Contra Costa,94520
Bibb,31220
Kauai,96766
Butte,95965
Adams,80220
Cochise,85632
Anchorage,99587
Coconino,86047
Alameda,94566
Fairfield,6804
District of Columbia,20020
Camden,31558
Valdez Cordova,99686
Lake,95423
Dolores,81324
Crawford,72921
Candler,30420
Yukon Koyukuk,99627
Lassen,96009
Calhoun,39866
Yuma,85349
Bulloch,30461
Yavapai,85362
Kern,93215
Delta,81416
Pinal,85128
Matanuska Susitna,99676
Imperial,92250
Burke,30456
Santa Cruz,85640
Navajo,85935
Pima,85622
Maricopa,85015
El Dorado,95667
Mohave,86413
Kenai Peninsula,99631
Contra Costa,94521
Kauai,96796
Butte,95966
Adams,80221
Cochise,85635
Coconino,86320
Alameda,94568
Fairfield,6807
District of Columbia,20024
Carroll,30108
Los Angeles,90001
Camden,31565
Eagle,80423
Cross,72324
Custer,83226
Valdez Cordova,99693
Lake,95424
Dolores,81332
Crawford,72932
Candler,30439
Yukon Koyukuk,99760
Lassen,96056
Yuma,85350
Bulloch,30471
Yavapai,85390
Kern,93222
Delta,81418
Pinal,85131
Matanuska Susitna,99683
Imperial,92251
Burke,30805
Santa Cruz,85645
Navajo,85937
Pima,85629
Maricopa,85016
El Dorado,95672
Mohave,86426
Kenai Peninsula,99639
Contra Costa,94523
Butte,95968
Adams,80229
Cochise,85638
Coconino,86336
Alameda,94577
Fairfield,6810
District of Columbia,20032
Carroll,30110
Catoosa,30707
Madera,93601
Elbert,80101
Los Angeles,90002
Camden,31568
Eagle,80426
Cross,72347
Custer,83251
Lake,95426
Crawford,72934
Lassen,96109
Yuma,85352
Bulloch,31308
Yavapai,86301
Kern,93225
Delta,81419
Pinal,85132
Matanuska Susitna,99687
Imperial,92257
Burke,30815
Santa Cruz,85646
Navajo,85939
Pima,85637
Maricopa,85017
El Dorado,95682
Mohave,86429
Kenai Peninsula,99663
Contra Costa,94525
Butte,95969
Adams,80233
Cochise,85643
Coconino,86337
Alameda,94578
Fairfield,6811
District of Columbia,20036
Charlton,31537
Marin,94901
El Paso,80106
Desha,71630
Franklin,83228
Carroll,30116
Catoosa,30736
Madera,93604
Elbert,80102
Los Angeles,90003
Camden,31569
Eagle,81620
Cross,72373
Custer,83255
Lake,95435
Crawford,72935
Lassen,96113
Yuma,85356
Bulloch,31321
Yavapai,86303
Kern,93226
Delta,81428
Pinal,85137
Matanuska Susitna,99688
Imperial,92259
Burke,30816
Santa Cruz,85648
Navajo,85942
Pima,85641
Maricopa,85018
El Dorado,95684
Mohave,86431
Kenai Peninsula,99664
Contra Costa,94526
Butte,95973
Adams,80234
Cochise,85650
Alameda,94579
Fairfield,6812
District of Columbia,20037
Charlton,31562
Marin,94903
El Paso,80132
Desha,71639
Franklin,83232
Carroll,30117
Chatham,31302
Mariposa,93601
Fremont,80926
Catoosa,30739
Madera,93610
Elbert,80105
Los Angeles,90004
Eagle,81621
Cross,72396
Custer,83278
Lake,95443
Crawford,72946
Lassen,96114
Yuma,85364
Yavapai,86305
Kern,93238
Delta,81434
Pinal,85138
Matanuska Susitna,99694
Imperial,92266
Burke,30830
Navajo,86025
Pima,85645
Maricopa,85019
El Dorado,95709
Mohave,86432
Kenai Peninsula,99669
Contra Costa,94528
Butte,95978
Adams,80241
Alameda,94580
Fairfield,6820
Chattahoochee,31805
Mendocino,95410
Garfield,81601
